scale_GeV,coefficient
20191,0.9456889502809457
20241,0.9456812408765468
20291,0.945673550492705
20341,0.9456658790357968
20391,0.9456582264128879
20441,0.945650592531727
20491,0.9456429773007391
20541,0.9456353806290184
20591,0.9456278024263224
20641,0.9456202426030649
20691,0.9456127010703104
20741,0.9456051777397668
20791,0.9455976725237804
20841,0.9455901853353285
20891,0.9455827160880144
20941,0.9455752646960609
20991,0.9455678310743044
21041,0.9455604151381893
21091,0.945553016803762
21141,0.9455456359876652
21191,0.9455382726071324
21241,0.9455309265799824
21291,0.9455235978246134
21341,0.9455162862599981
21391,0.9455089918056778
21441,0.9455017143817577
21491,0.9454944539089009
21541,0.9454872103083237
21591,0.9454799835017906
21641,0.9454727734116087
21691,0.9454655799606233
21741,0.9454584030722124
21791,0.945451242670282
21841,0.9454440986792616
21891,0.9454369710240987
21941,0.9454298596302549
21991,0.9454227644237005
22041,0.9454156853309105
22091,0.9454086222788591
22141,0.9454015751950164
22191,0.9453945440073432
22241,0.9453875286442865
22291,0.9453805290347755
22341,0.945373545108217
22391,0.9453665767944913
22441,0.945359624023948
22491,0.9453526867274017
22541,0.9453457648361276
22591,0.9453388582818583
22641,0.9453319669967786
22691,0.9453250909135226
22741,0.9453182299651689
22791,0.9453113840852371
22841,0.9453045532076839
22891,0.9452977372668994
22941,0.9452909361977027
22991,0.9452841499353392
23041,0.9452773784154759
23091,0.9452706215741983
23141,0.9452638793480067
23191,0.9452571516738125
23241,0.9452504384889348
23291,0.9452437397310965
23341,0.9452370553384217
23391,0.9452303852494313
23441,0.94522372940304
23491,0.9452170877385533
23541,0.9452104601956636
23591,0.9452038467144472
23641,0.945197247235361
23691,0.9451906616992395
23741,0.945184090047291
23791,0.9451775322210954
23841,0.9451709881626
23891,0.9451644578141174
23941,0.9451579411183219
23991,0.9451514380182463
24041,0.9451449484572796
24091,0.9451384723791636
24141,0.9451320097279896
24191,0.9451255604481966
24241,0.9451191244845673
24291,0.9451127017822256
24341,0.9451062922866345
24391,0.9450998959435921
24441,0.9450935126992299
24491,0.9450871425000097
24541,0.9450807852927204
24591,0.9450744410244764
24641,0.9450681096427139
24691,0.9450617910951891
24741,0.945055485329975
24791,0.9450491922954593
24841,0.9450429119403414
24891,0.9450366442136305
24941,0.9450303890646427
24991,0.9450241464429983
25041,0.9450179162986201
25091,0.9450116985817304
25141,0.9450054932428487
25191,0.9449993002327896
25241,0.9449931195026601
25291,0.9449869510038575
25341,0.9449807946880675
25391,0.9449746505072608
25441,0.944968518413692
25491,0.9449623983598968
25541,0.9449562902986901
25591,0.9449501941831634
25641,0.944944109966683
25691,0.9449380376028876
25741,0.9449319770456868
25791,0.9449259282492578
25841,0.9449198911680446
25891,0.9449138657567553
25941,0.9449078519703599
25991,0.9449018497640886
26041,0.9448958590934301
26091,0.9448898799141288
26141,0.9448839121821834
26191,0.9448779558538449
26241,0.9448720108856147
26291,0.9448660772342424
26341,0.9448601548567244
26391,0.9448542437103015
26441,0.9448483437524573
26491,0.9448424549409167
26541,0.9448365772336432
26591,0.9448307105888384
26641,0.9448248549649387
26691,0.9448190103206148
26741,0.9448131766147692
26791,0.9448073538065347
26841,0.944801541855273
26891,0.9447957407205725
26941,0.9447899503622467
26991,0.9447841707403327
27041,0.9447784018150895
27091,0.9447726435469966
27141,0.9447668958967518
27191,0.9447611588252699
27241,0.9447554322936813
27291,0.9447497162633302
27341,0.9447440106957729
27391,0.9447383155527765
27441,0.9447326307963176
27491,0.9447269563885801
27541,0.9447212922919539
27591,0.944715638469034
27641,0.9447099948826183
27691,0.9447043614957066
27741,0.9446987382714986
27791,0.9446931251733931
27841,0.9446875221649863
27891,0.9446819292100701
27941,0.9446763462726312
27991,0.9446707733168493
28041,0.944665210307096
28091,0.9446596572079333
28141,0.9446541139841123
28191,0.9446485806005714
28241,0.9446430570224362
28291,0.9446375432150168
28341,0.944632039143807
28391,0.9446265447744834
28441,0.9446210600729036
28491,0.9446155850051051
28541,0.9446101195373042
28591,0.9446046636358946
28641,0.9445992172674458
28691,0.9445937803987026
28741,0.9445883529965833
28791,0.9445829350281789
28841,0.9445775264607518
28891,0.944572127261734
28941,0.9445667373987269
28991,0.9445613568394996
29041,0.9445559855519876
29091,0.9445506235042923
29141,0.944545270664679
29191,0.9445399270015764
29241,0.9445345924835753
29291,0.9445292670794275
29341,0.9445239507580446
29391,0.9445186434884971
29441,0.9445133452400132
29491,0.9445080559819776
29541,0.9445027756839308
29591,0.9444975043155677
29641,0.9444922418467366
29691,0.9444869882474387
29741,0.944481743487826
29791,0.9444765075382013
29841,0.944471280369017
29891,0.9444660619508731
29941,0.944460852254518
29991,0.9444556512508459
1000,0.9550564686191817
